"Gene","p.EMMAX","p.LM","Neg.log10.p.EMMAX","Neg.log10.p.LM","Beta.EMMAX","Beta.LM","Allele.freq","Description","Temperature"
"AT1G23965",0.42347417468299,0.000219130801099451,0.373173069712632,3.65929657356954,-0.682749948474356,-4.25362685307321,0.57645875251509,"transcription factor;(source:Araport11)","10°C"
"AT1G24000",0.345562031766126,0.970979346830251,0.461473981182445,0.0127900076337547,0.836134205766899,-0.0515916182441996,0.796780684104628,"Polyketide cyclase/dehydrase and lipid transport superfamily protein;(source:Araport11)","10°C"
"AT1G24060",0.7461317836383,0.00943276770714878,0.127184459588574,2.02536086043519,0.305442462415379,3.94611750082728,0.169014084507042,"hypothetical protein;(source:Araport11)","10°C"
"AT1G24100",0.668769407817751,0.473854368889428,0.174723601477852,0.324355110869446,0.440580180227324,1.02319150439242,0.199195171026157,"Encodes a UDP-glucose:thiohydroximate S-glucosyltransferase, involved in glucosinolate biosynthesis","10°C"
"AT1G24110",0.886606552308306,0.818787042471817,0.0522690634485657,0.0868290387837334,-0.18403156891343,0.405687285582649,0.117706237424547,"Peroxidase superfamily protein;(source:Araport11)","10°C"
"AT1G24140",0.84410350641866,0.000122560390471189,0.0736042956607618,3.91164986406907,0.192690982939963,5.58755497236355,0.188128772635815,"Expression induced by  fungal and bacterial pathogens.","10°C"
"AT1G24145",0.392404913818198,2.18498006783552e-05,0.406265562885446,4.66055252046405,0.853518407563897,6.66456529603572,0.154929577464789,"transmembrane protein;(source:Araport11)","10°C"
"AT1G24200",0.834327708309645,0.56857709215335,0.0786633331078239,0.245210641922759,-0.149278167872367,0.667201625319037,0.61066398390342,"Paired amphipathic helix (PAH2) superfamily protein;(source:Araport11)","10°C"
"AT1G24220",0.625242433939144,0.129017998766718,0.20395155496469,0.889349698849595,-0.383115273173344,-1.75861872131883,0.412474849094567,"paired amphipathic helix repeat-containing protein;(source:Araport11)","10°C"
"AT1G24230",0.383881563826251,0.00303011572651534,0.415802744670268,2.51854078455801,-0.674275295325839,3.39930294758058,0.558350100603622,"Paired amphipathic helix (PAH2) superfamily protein;(source:Araport11)","10°C"
"AT1G24240",0.133564800412044,0.0176566753033272,0.874307980490707,1.75309106935138,-1.59458191187035,-4.36249460054336,0.107645875251509,"Ribosomal protein L19 family protein;(source:Araport11)","10°C"
"AT1G24250",0.227105408093741,0.0376281300643847,0.643772523740177,1.42448736347386,-1.22566546908621,-3.39646748101561,0.141851106639839,"Paired amphipathic helix (PAH2) superfamily protein;(source:Araport11)","10°C"
"AT1G24256",0.671645046486917,0.362081382901873,0.172860183908864,0.441193804679931,0.606103350035812,-1.80306386127694,0.0915492957746479,"hypothetical protein;(source:Araport11)","10°C"
"AT1G24350",0.364345845798202,0.00560535050684132,0.438486177853757,2.2513972254548,0.982762873253869,-4.10574425098585,0.180080482897384,"Acid phosphatase/vanadium-dependent haloperoxidase-related protein;(source:Araport11)","10°C"
"AT1G24380",0.458634240663871,0.00299431538362711,0.338533524886802,2.52370245845009,0.763846366416695,-4.3157359261248,0.810865191146881,"no-apical-meristem-associated carboxy-terminal domain protein;(source:Araport11)","10°C"
"AT1G24388",0.815455298995303,0.0474454065421985,0.0885998407938589,1.32380582770333,0.199230811252032,-2.61155463586483,0.750503018108652,"hypothetical protein;(source:Araport11)","10°C"
"AT1G24390",0.705095530774549,0.00199422557769265,0.151752038075905,2.70022571783672,0.373253827184476,-4.3811313341456,0.797786720321932,"hypothetical protein;(source:Araport11)","10°C"
"AT1G24480",0.248108417166378,0.0466026481764055,0.605358501882958,1.33158940400265,1.1576630649876,-2.58763060341928,0.740442655935614,"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein;(source:Araport11)","10°C"
"AT1G24650",0.439472714115854,0.149627376471489,0.35706808413238,0.824988938806032,-0.634345165884347,-1.67718556415551,0.400402414486922,"Leucine-rich repeat protein kinase family protein;(source:Araport11)","10°C"
"AT1G25300",0.67609396576247,0.00529305924490149,0.169992940188356,2.27629324494888,0.64802958430413,6.51853840993555,0.0633802816901408,"Octicosapeptide/Phox/Bem1p family protein;(source:Araport11)","10°C"
"AT1G25410",0.666385131612116,0.168902116242803,0.176274701473492,0.772364908944007,0.400903189797411,1.92564329140322,0.210261569416499,"AB061404 Arabidopsis thaliana AtIPT6 mRNA for cytokinin synthase, complete cds","10°C"
"AT1G25460",0.546073744411787,1.59427391261885e-08,0.262748704129535,7.79743706028047,0.582530067895258,7.69331647505476,0.222334004024145,"NAD(P)-binding Rossmann-fold superfamily protein;(source:Araport11)","10°C"
"AT1G25550",0.910193050866346,0.00466646946651591,0.0408664845645421,2.33101157148718,0.135717558156473,5.05648092799422,0.114688128772636,"Member of HHO/HRS GARP type transcriptional repressor family. Involved in Pi uptake and Pi starvation signaling. Transcriptional repressors that functions with other NIGT genes as an important hub in the nutrient signaling network associated with the acquisition and use of nitrogen and phosphorus.","10°C"
"AT1G25988",0.826594120653469,0.000870112522632889,0.0827076880657262,3.06042458094618,0.193143725714663,-3.79337809714379,0.476861167002012,"coiled-coil protein, putative (DUF572);(source:Araport11)","10°C"
"AT1G26220",0.238368367315246,0.872221453949503,0.622751378176518,0.0593732352304732,1.96143604105164,-0.394758685649796,0.0573440643863179,"Catalyzes formation of N-acetylserotonin (NAS) from serotonin. Involved in the GA-related flowering pathway.","10°C"
